Municipality,Dist,Address,Cap,Licensed,Available,Full Address,Latitude,Longitude
النسيم,النسيم الشرقي,حديقة حي النسيم الشرقي شارع الامير احمد بن سلمان,1,0,1,حديقة حي النسيم الشرقي شارع الامير احمد بن سلمان حي النسيم الشرقي الرياض,24.732538,46.837624
امانة الرياض,الأماكن / المسارات المعتمدة من الأمانة,المواقع المسموحة فقط,250,110,140,الرياض,24.746161,46.72914
المعذر,النخيل,حديقة النخيل 3,4,1,3,حديقة النخيل 3 حي النخيل الرياض,24.7470915,46.649504
المعذر,النخيل,حديقة حي النخيل شارع التخصصي,7,3,4,حديقة حي النخيل شارع التخصصي حي النخيل الرياض,24.748659,46.643396
النسيم,النسيم الشرقي,منتزه الطرف شارع جبير بن الحويرث,2,1,1,منتزه الطرف شارع جبير بن الحويرث حي النسيم الشرقي الرياض,24.749926,46.8369155
الدرعية,الفيصلية,حديقة موضي العثمان,3,1,2,حديقة موضي العثمان حي الفيصلية الرياض,24.7505551,46.5779868
الدرعية,العاصمه,الحديقة الأولي,4,1,3,الحديقة الأولي حي العاصمه الرياض,24.7590378,46.7732663
شمال الرياض,الصحافة,,15,8,7, حي الصحافة الرياض,24.779486,46.638349
الروضة,الرمال,منتزة الثمامة البري,30,4,26,منتزة الثمامة البري حي الرمال الرياض,24.870213,46.803715
شمال الرياض,بنبان,منتزة الملك سلمان حي بنبان,10,4,6,منتزة الملك سلمان حي بنبان حي بنبان الرياض,25.0142962,46.5966033
